Time [s],Packet ID,MOSI,MISO
0.0027025,259,0x0C,0x0D
0.0027045,259,0x0D,0x0E
0.0027065,259,0x0E,0x0F
0.0027129,260,0x10,0x11
0.0027149,260,0x11,0x12
0.0027169,260,0x12,0x13
0.0027233,261,0x14,0x15
0.0027253,261,0x15,0x16
0.0027273,261,0x16,0x17
0.0027337,262,0x18,0x19
0.0027357,262,0x19,0x1A
0.0027377,262,0x1A,0x1B
0.0027441,263,0x1C,0x1D
0.0027461,263,0x1D,0x1E
0.0027481,263,0x1E,0x1F
0.0027545,264,0x20,0x21
0.0027565,264,0x21,0x22
0.0027585,264,0x22,0x23
0.0027649,265,0x24,0x25
0.0027669,265,0x25,0x26
0.0027689,265,0x26,0x27
0.0027753,266,0x28,0x29
0.0027773,266,0x29,0x2A
0.0027793,266,0x2A,0x2B
0.0027857,267,0x2C,0x2D
0.0027877,267,0x2D,0x2E
0.0027897,267,0x2E,0x2F
0.0027961,268,0x30,0x31
0.0027981,268,0x31,0x32
